,saldo_devedor,parcela,itbi,custos_fixos,custos_iniciais,reforma,venda,total,data
0,0.00,0.00,1875.00,771.67,628700.00,0.00,0.00,631346.67,2022-08-25
1,0.00,0.00,1875.00,771.67,0.00,3750.00,0.00,6396.67,2022-09-25
2,0.00,0.00,1875.00,771.67,0.00,3750.00,0.00,6396.67,2022-10-25
3,0.00,0.00,1875.00,771.67,0.00,3750.00,0.00,6396.67,2022-11-25
4,0.00,0.00,1875.00,771.67,0.00,3750.00,0.00,6396.67,2022-12-25
5,0.00,0.00,1875.00,771.67,0.00,0.00,0.00,2646.67,2023-01-25
6,0.00,0.00,1875.00,771.67,0.00,0.00,0.00,2646.67,2023-02-25
7,0.00,0.00,1875.00,771.67,0.00,0.00,0.00,2646.67,2023-03-25
8,0.00,0.00,1875.00,771.67,0.00,0.00,0.00,2646.67,2023-04-25
9,0.00,0.00,1875.00,771.67,0.00,0.00,0.00,2646.67,2023-05-25
10,0.00,0.00,,771.67,0.00,0.00,-738750.00,-737978.33,2023-06-25
